Name,Version,Section,Homepage,Source,Architecture
ethtool,1:4.15-0ubuntu1,net,https://www.kernel.org/pub/software/network/ethtool/,,amd64
fdisk,2.31.1-0.4ubuntu3.1,utils,,util-linux,amd64
file,1:5.32-2ubuntu0.1,utils,http://www.darwinsys.com/file/,,amd64
findutils,4.6.0+git+20170828-2,utils,https://savannah.gnu.org/projects/findutils/,,amd64
fonts-ubuntu-console,0.83-2,non-free/fonts,https://design.ubuntu.com/font/,fonts-ubuntu,all
friendly-recovery,0.2.38,admin,,,all
ftp,0.17-34,net,,netkit-ftp,amd64
fuse,2.9.7-1ubuntu1,utils,https://github.com/libfuse/libfuse/wiki,,amd64
gawk,1:4.1.4+dfsg-1build1,interpreters,http://www.gnu.org/software/gawk/,,amd64
gcc-8-base,8.2.0-1ubuntu2~18.04,libs,http://gcc.gnu.org/,gcc-8,amd64
gdisk,1.0.3-1,admin,http://sourceforge.net/projects/gptfdisk/,,amd64
geoip-database,20180315-1,net,http://www.maxmind.com/,,all
gettext-base,0.19.8.1-6,utils,http://www.gnu.org/software/gettext/,gettext,amd64
gir1.2-glib-2.0,1.56.1-1,introspection,https://wiki.gnome.org/GObjectIntrospection,gobject-introspection,amd64
git,1:2.17.1-1ubuntu0.3,vcs,https://git-scm.com/,,amd64
git-man,1:2.17.1-1ubuntu0.3,doc,https://git-scm.com/,git,all
gnupg,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2,amd64
gnupg-l10n,2.2.4-1ubuntu1.1,localization,https://www.gnupg.org/,gnupg2,all
gnupg-utils,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2,amd64
gpg,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2,amd64
gpg-agent,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2,amd64
gpg-wks-client,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2,amd64
gpg-wks-server,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2,amd64
gpgconf,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2,amd64
gpgsm,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2,amd64
gpgv,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2,amd64
grep,3.1-2,utils,http://www.gnu.org/software/grep/,,amd64
groff-base,1.22.3-10,text,https://www.gnu.org/software/groff/,groff,amd64
grub-common,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2,amd64
grub-efi-amd64,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2,amd64
grub-efi-amd64-bin,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2,amd64
grub-efi-amd64-signed,1.93.5+2.02-2ubuntu8.4,utils,,grub2-signed (1.93.5),amd64
grub-gfxpayload-lists,0.7,admin,,,amd64
grub-pc,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2,amd64
grub-pc-bin,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2,amd64
grub2-common,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2,amd64
gzip,1.6-5ubuntu1,utils,,,amd64
hdparm,9.54+ds-1,admin,http://sourceforge.net/projects/hdparm/,,amd64
hostname,3.20,admin,,,amd64
htop,2.1.0-3,utils,https://hisham.hm/htop/,,amd64
info,6.5.0.dfsg.1-2,doc,,texinfo,amd64
init,1.51,metapackages,,init-system-helpers,amd64
init-system-helpers,1.51,admin,,,all
initramfs-tools,0.130ubuntu3.3,utils,,,all
initramfs-tools-bin,0.130ubuntu3.3,utils,,initramfs-tools,amd64
initramfs-tools-core,0.130ubuntu3.3,utils,,initramfs-tools,all
install-info,6.5.0.dfsg.1-2,doc,,texinfo,amd64
iproute2,4.15.0-2ubuntu1,net,https://wiki.linuxfoundation.org/networking/iproute2,,amd64
iptables,1.6.1-2ubuntu2,net,http://www.netfilter.org/,,amd64
iputils-ping,3:20161105-1ubuntu2,net,,iputils,amd64
iputils-tracepath,3:20161105-1ubuntu2,net,,iputils,amd64
irqbalance,1.3.0-0.1,utils,https://github.com/Irqbalance/irqbalance,,amd64
isc-dhcp-client,4.3.5-3ubuntu7,net,http://www.isc.org,isc-dhcp,amd64
isc-dhcp-common,4.3.5-3ubuntu7,net,http://www.isc.org,isc-dhcp,amd64
iso-codes,3.79-1,misc,https://salsa.debian.org/iso-codes-team/iso-codes,,all
kbd,2.0.4-2ubuntu1,utils,http://www.kbd-project.org/,,amd64
keyboard-configuration,1.178ubuntu2.7,utils,,console-setup,all
klibc-utils,2.0.4-9ubuntu2,libs,https://git.kernel.org/cgit/libs/klibc/klibc.git,klibc,amd64
kmod,24-1ubuntu3,admin,,,amd64
krb5-locales,1.16-2build1,localization,http://web.mit.edu/kerberos/,krb5,all
landscape-common,18.01-0ubuntu3.1,admin,,landscape-client,amd64
language-selector-common,0.188.1,admin,,language-selector,all
less,487-0.1,text,http://www.greenwoodsoftware.com/less/,,amd64
libaccountsservice0,0.6.45-1ubuntu1,libs,https://www.freedesktop.org/wiki/Software/AccountsService/,accountsservice,amd64
libacl1,2.2.52-3build1,libs,http://savannah.nongnu.org/projects/acl/,acl,amd64
libapparmor1,2.12-4ubuntu5.1,libs,http://apparmor.net/,apparmor,amd64
libapr1,1.6.3-2,libs,http://apr.apache.org/,apr,amd64
libaprutil1,1.6.1-2,libs,http://apr.apache.org/,apr-util,amd64
libaprutil1-dbd-sqlite3,1.6.1-2,libs,http://apr.apache.org/,apr-util,amd64
libaprutil1-ldap,1.6.1-2,libs,http://apr.apache.org/,apr-util,amd64
libapt-inst2.0,1.6.3ubuntu0.1,libs,,apt,amd64
libapt-pkg5.0,1.6.3ubuntu0.1,libs,,apt,amd64
libargon2-0,0~20161029-1.1,libs,https://github.com/P-H-C/phc-winner-argon2,argon2,amd64
libasn1-8-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal,amd64
libassuan0,2.5.1-2,libs,https://www.gnupg.org/related_software/libassuan/index.html,libassuan,amd64
libatm1,1:2.5.1-2build1,libs,http://linux-atm.sourceforge.net/,linux-atm,amd64
libattr1,1:2.4.47-2build1,libs,http://savannah.nongnu.org/projects/attr/,attr,amd64
libaudit-common,1:2.8.2-1ubuntu1,libs,https://people.redhat.com/sgrubb/audit/,audit,all
libaudit1,1:2.8.2-1ubuntu1,libs,https://people.redhat.com/sgrubb/audit/,audit,amd64
